"Supplemental Table 3. PCA, clustering, and GO enrichment analysis results. Note GO enrichment was not performed on the pale turquoise clade because this clade did not show temperature differences.",,,,,,,,,,,,,
protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_BRAFLDRAFT_93030.1.1.m.29276,0.008913944,0.012517901,No,NA,NA,NA,NA,NA,NA,axolemma [GO:0030673]; cortical cytoskeleton [GO:0030863]; cuticular plate [GO:0032437]; cytoplasm [GO:0005737]; endomembrane system [GO:0012505]; glutamatergic synapse [GO:0098978]; M band [GO:0031430]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; protein-containing complex [GO:0032991]; spectrin [GO:0008091]; actin binding [GO:0003779]; ankyrin binding [GO:0030506]; calmodulin binding [GO:0005516]; GTPase binding [GO:0051020]; phospholipid binding [GO:0005543]; protein-containing complex binding [GO:0044877]; structural constituent of cytoskeleton [GO:0005200]; actin filament capping [GO:0051693]; common-partner SMAD protein phosphorylation [GO:0007182]; Golgi to plasma membrane protein transport [GO:0043001]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; plasma membrane organization [GO:0007009]; positive regulation of interleukin-2 secretion [GO:1900042]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein localization to plasma membrane [GO:0072659]; regulation of protein localization to plasma membrane [GO:1903076]; regulation of SMAD protein signal transduction [GO:0060390],NA,NA,NA
CHOYP_BRAFLDRAFT_93247.1.1.m.7558,-0.022566055,0.009991026,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_93411.1.3.m.13317,0.00610648,0.010124003,No,NA,NA,NA,NA,NA,NA,bicellular tight junction [GO:0005923]; nucleus [GO:0005634]; plasma membrane [GO:0005886],NA,NA,NA
CHOYP_BRAFLDRAFT_93411.3.3.m.54402,0.006118156,0.006057288,No,NA,NA,NA,NA,NA,NA,bicellular tight junction [GO:0005923]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; cytoplasmic vesicle [GO:0031410]; gap junction [GO:0005921]; plasma membrane [GO:0005886]; calmodulin binding [GO:0005516]; bicellular tight junction assembly [GO:0070830]; cellular response to calcium ion [GO:0071277],NA,NA,NA
CHOYP_BRAFLDRAFT_93856.2.6.m.20593,0.007227574,-0.012454723,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_93876.1.1.m.8885,0.005200295,0.01204735,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; replication fork [GO:0005657]; DNA-binding transcription factor activity; RNA polymerase II-specific [GO:0000981]; RNA polymerase II repressing transcription factor binding [GO:0001103]; transcription corepressor activity [GO:0003714]; chromatin remodeling [GO:0006338]; DNA methylation [GO:0006306]; DNA repair [GO:0006281]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription; DNA-templated [GO:0045892]; positive regulation of protein import into nucleus [GO:0042307]; regulation of growth [GO:0040008]; response to ethanol [GO:0045471],NA,NA,NA
CHOYP_BRAFLDRAFT_94906.1.1.m.59345,0.012457882,0.014068496,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein deglycase activity [GO:0036524]; cellular response to glyoxal [GO:0036471]; cellular response to methylglyoxal [GO:0097238]; glycolate biosynthetic process [GO:0046295]; glyoxal metabolic process [GO:1903189]; guanine deglycation; glyoxal removal [GO:0106046]; lactate biosynthetic process [GO:0019249]; methylglyoxal metabolic process [GO:0009438]; negative regulation of neuron death [GO:1901215]; protein deglycation; glyoxal removal [GO:0036529]; response to toxic substance [GO:0009636],NA,NA,NA
CHOYP_BRAFLDRAFT_95073.3.9.m.27326,0.003647786,-0.008720528,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_95739.1.2.m.53575,0.002179971,-0.008072714,No,NA,NA,NA,NA,NA,NA,extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; hair cycle process [GO:0022405]; innervation [GO:0060384]; otolith morphogenesis [GO:0032474]; sensory perception of sound [GO:0007605],NA,NA,NA
CHOYP_BRAFLDRAFT_95739.2.2.m.57592,0.002179971,-0.008072714,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_95868.1.2.m.56034,0.003730459,-0.017448087,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_96254.1.1.m.47860,-0.012465888,0.010917311,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_96598.1.1.m.54770,0.003945368,0.002913697,No,NA,NA,NA,NA,NA,NA,integral component of plasma membrane [GO:0005887]; cell surface receptor signaling pathway [GO:0007166],NA,NA,NA
CHOYP_BRAFLDRAFT_97410.1.3.m.34739,-0.001743206,0.015928959,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_97676.1.1.m.62102,-0.011996785,-0.014830219,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; EARP complex [GO:1990745]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome [GO:0055037]; trans-Golgi network membrane [GO:0032588]; Rab GTPase binding [GO:0017137]; syntaxin binding [GO:0019905]; ectodermal cell differentiation [GO:0010668]; embryonic ectodermal digestive tract development [GO:0048611]; endocytic recycling [GO:0032456]; Golgi to vacuole transport [GO:0006896]; lysosomal transport [GO:0007041]; protein transport [GO:0015031]; retrograde transport; endosome to Golgi [GO:0042147],NA,NA,NA
CHOYP_BRAFLDRAFT_97881.1.1.m.46581,-0.011856878,0.004547552,No,NA,NA,NA,NA,NA,NA,autosome [GO:0030849]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; X chromosome [GO:0000805]; XY body [GO:0001741]; Y chromosome [GO:0000806]; chromatin binding [GO:0003682]; transcription corepressor activity [GO:0003714]; histone deacetylation [GO:0016575]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of lipid metabolic process [GO:0019216],NA,NA,NA
CHOYP_BRAFLDRAFT_98499.1.1.m.5718,-0.008962308,0.012031064,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_98740.3.7.m.46571,-0.010662804,-0.003796435,No,NA,NA,NA,NA,NA,NA,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; glycosaminoglycan binding [GO:0005539]; integrin binding [GO:0005178]; transforming growth factor beta binding [GO:0050431]; transforming growth factor beta-activated receptor activity [GO:0005024]; growth hormone secretion [GO:0030252]; multicellular organism development [GO:0007275]; protein folding [GO:0006457]; regulation of cell differentiation [GO:0045595]; regulation of cell growth [GO:0001558]; regulation of proteolysis [GO:0030162]; regulation of transforming growth factor beta receptor signaling pathway [GO:0017015]; transforming growth factor beta receptor signaling pathway [GO:0007179],NA,NA,NA
CHOYP_BRAFLDRAFT_98740.4.7.m.53694,0.01854008,0.006759234,No,NA,NA,NA,NA,NA,NA,collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; microfibril [GO:0001527]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; bone trabecula formation [GO:0060346]; camera-type eye development [GO:0043010]; embryonic eye morphogenesis [GO:0048048]; embryonic limb morphogenesis [GO:0030326]; limb morphogenesis [GO:0035108]; positive regulation of bone mineralization [GO:0030501]; positive regulation of osteoblast differentiation [GO:0045669]; sequestering of TGFbeta in extracellular matrix [GO:0035583],NA,NA,NA
CHOYP_BRAFLDRAFT_98740.5.7.m.58200,0.008140856,0.003135876,No,NA,NA,NA,NA,NA,NA,basement membrane [GO:0005604]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; microfibril [GO:0001527]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; hormone activity [GO:0005179]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; activation of protein kinase A activity [GO:0034199]; camera-type eye development [GO:0043010]; cell adhesion mediated by integrin [GO:0033627]; embryonic eye morphogenesis [GO:0048048]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; heart development [GO:0007507]; negative regulation of osteoclast development [GO:2001205]; post-embryonic eye morphogenesis [GO:0048050]; protein kinase A signaling [GO:0010737]; sequestering of BMP in extracellular matrix [GO:0035582]; sequestering of TGFbeta in extracellular matrix [GO:0035583]; skeletal system development [GO:0001501],NA,NA,NA
CHOYP_BRAFLDRAFT_98740.6.7.m.59350,-0.01077203,0.010586158,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_98740.6.7.m.59351,0.011150075,0.00235758,No,NA,NA,NA,NA,NA,NA,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; microfibril [GO:0001527]; calcium ion binding [GO:0005509]; extracellular matrix constituent conferring elasticity [GO:0030023]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; hormone activity [GO:0005179]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; protein-containing complex binding [GO:0044877]; activation of protein kinase A activity [GO:0034199]; camera-type eye development [GO:0043010]; cell adhesion mediated by integrin [GO:0033627]; cellular protein metabolic process [GO:0044267]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to transforming growth factor beta stimulus [GO:0071560]; embryonic eye morphogenesis [GO:0048048]; extracellular matrix organization [GO:0030198]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; heart development [GO:0007507]; metanephros development [GO:0001656]; negative regulation of osteoclast development [GO:2001205]; negative regulation of osteoclast differentiation [GO:0045671]; post-embryonic eye morphogenesis [GO:0048050]; post-translational protein modification [GO:0043687]; protein kinase A signaling [GO:0010737]; sequestering of BMP in extracellular matrix [GO:0035582]; sequestering of TGFbeta in extracellular matrix [GO:0035583]; skeletal system development [GO:0001501],NA,NA,NA
CHOYP_BRAFLDRAFT_98740.7.7.m.65348,0.016500265,-0.00738384,No,NA,NA,NA,NA,NA,NA,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; microfibril [GO:0001527]; calcium ion binding [GO:0005509]; extracellular matrix constituent conferring elasticity [GO:0030023]; extracellular matrix structural constituent [GO:0005201]; heparin binding [GO:0008201]; hormone activity [GO:0005179]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; protein-containing complex binding [GO:0044877]; activation of protein kinase A activity [GO:0034199]; camera-type eye development [GO:0043010]; cell adhesion mediated by integrin [GO:0033627]; cellular protein metabolic process [GO:0044267]; cellular response to insulin-like growth factor stimulus [GO:1990314]; cellular response to transforming growth factor beta stimulus [GO:0071560]; embryonic eye morphogenesis [GO:0048048]; extracellular matrix organization [GO:0030198]; glucose homeostasis [GO:0042593]; glucose metabolic process [GO:0006006]; heart development [GO:0007507]; metanephros development [GO:0001656]; negative regulation of osteoclast development [GO:2001205]; negative regulation of osteoclast differentiation [GO:0045671]; post-embryonic eye morphogenesis [GO:0048050]; post-translational protein modification [GO:0043687]; protein kinase A signaling [GO:0010737]; sequestering of BMP in extracellular matrix [GO:0035582]; sequestering of TGFbeta in extracellular matrix [GO:0035583]; skeletal system development [GO:0001501],NA,NA,NA
CHOYP_BRAFLDRAFT_98895.2.2.m.39575,-0.005280033,-0.012468399,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_98992.1.1.m.62815,0.007895072,-0.005475839,No,NA,NA,NA,NA,NA,NA,mitochondrial matrix [GO:0005759]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; acyl-CoA dehydrogenase activity [GO:0003995]; fatty-acyl-CoA binding [GO:0000062]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; isomerase activity [GO:0016853]; medium-chain-acyl-CoA dehydrogenase activity [GO:0070991]; fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; medium-chain fatty acid catabolic process [GO:0051793]; protein homotetramerization [GO:0051289]; response to copper ion [GO:0046688]; response to drug [GO:0042493]; response to glucocorticoid [GO:0051384]; response to hormone [GO:0009725]; response to nutrient [GO:0007584],NA,NA,NA
CHOYP_BRAFLDRAFT_99018.1.1.m.14650,-0.007183356,-0.013462145,No,NA,NA,NA,NA,NA,NA,hydrolase activity [GO:0016787],NA,NA,NA
CHOYP_BRAFLDRAFT_99073.1.1.m.18282,-0.000625998,0.008140151,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_99083.1.1.m.11705,-0.013305943,0.018708101,No,NA,NA,NA,NA,NA,NA,cell body [GO:0044297]; cilium [GO:0005929]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; sperm midpiece [GO:0097225]; vesicle [GO:0031982]; actin binding [GO:0003779]; alpha-tubulin binding [GO:0043014]; beta-tubulin binding [GO:0048487]; chaperone binding [GO:0051087]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; ubiquitin protein ligase binding [GO:0031625]; cellular response to unfolded protein [GO:0034620]; negative regulation of cell death [GO:0060548]; spermatid development [GO:0007286],NA,NA,NA
CHOYP_BRAFLDRAFT_99539.1.1.m.55866,0.003945368,0.002913697,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_99630.3.9.m.20020,0.003246136,0.022009668,No,NA,NA,NA,NA,NA,NA,integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor-activated receptor activity [GO:0005007]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; apoptotic process [GO:0006915]; positive regulation of cell proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],NA,NA,NA
CHOYP_BRAFLDRAFT_99630.5.9.m.36500,0.00205195,-0.009341169,No,NA,NA,NA,NA,NA,NA,integral component of plasma membrane [GO:0005887]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; fibroblast growth factor binding [GO:0017134]; fibroblast growth factor-activated receptor activity [GO:0005007]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; apoptotic process [GO:0006915]; positive regulation of cell proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],NA,NA,NA
CHOYP_BRAFLDRAFT_99630.9.9.m.62562,-0.004308943,-0.006315407,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_99641.1.1.m.63666,-0.007223637,-0.005393631,No,NA,NA,NA,NA,NA,NA,metal ion binding [GO:0046872]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; negative regulation of phosphatase activity [GO:0010923],NA,NA,NA
CHOYP_BRAFLDRAFT_99974.1.1.m.25083,0.014686978,0.003053423,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; beta-carotene 15;15'-monooxygenase activity [GO:0003834]; carotenoid dioxygenase activity [GO:0010436]; metal ion binding [GO:0046872]; retinal isomerase activity [GO:0004744]; beta-carotene metabolic process [GO:1901810]; carotene catabolic process [GO:0016121]; retinal metabolic process [GO:0042574]; retinoid metabolic process [GO:0001523]; retinol metabolic process [GO:0042572]; vitamin A biosynthetic process [GO:0035238],NA,NA,NA
CHOYP_BRAP.1.1.m.47862,-0.005763956,0.010226572,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; ubiquitin ligase complex [GO:0000151]; identical protein binding [GO:0042802]; nuclear localization sequence binding [GO:0008139]; nucleic acid binding [GO:0003676]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; MAPK cascade [GO:0000165]; negative regulation of signal transduction [GO:0009968]; protein ubiquitination [GO:0016567]; Ras protein signal transduction [GO:0007265],NA,NA,NA
CHOYP_BRCA2.1.2.m.17660,-0.00862626,-0.012746709,No,NA,NA,NA,NA,NA,NA,nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; chromatin binding [GO:0003682]; cellular response to DNA damage stimulus [GO:0006974]; centrosome cycle [GO:0007098]; DNA replication [GO:0006260]; regulation of cell cycle [GO:0051726]; response to UV [GO:0009411]; translesion synthesis [GO:0019985],NA,NA,NA
CHOYP_BRCC3.1.1.m.66615,0.004961936,-0.006998926,No,NA,NA,NA,NA,NA,NA,BRCA1-A complex [GO:0070531]; BRISC complex [GO:0070552]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole [GO:0000922]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; polyubiquitin modification-dependent protein binding [GO:0031593]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; cell cycle [GO:0007049]; cell division [GO:0051301]; double-strand break repair [GO:0006302]; histone H2A K63-linked deubiquitination [GO:0070537]; positive regulation of DNA repair [GO:0045739]; protein K63-linked deubiquitination [GO:0070536]; response to ionizing radiation [GO:0010212]; signal transduction involved in G2 DNA damage checkpoint [GO:0072425],NA,NA,NA
CHOYP_BRD4.1.1.m.55245,-0.007680542,0.012967514,No,NA,NA,NA,NA,NA,NA,nucleus [GO:0005634]; histone binding [GO:0042393]; lysine-acetylated histone binding [GO:0070577]; cell differentiation [GO:0030154]; chromatin remodeling [GO:0006338]; histone displacement [GO:0001207]; male meiosis I [GO:0007141]; male meiotic nuclear division [GO:0007140]; mRNA processing [GO:0006397]; positive regulation of transcription involved in meiotic cell cycle [GO:0051039]; regulation of RNA splicing [GO:0043484]; regulation of transcription; DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283],NA,NA,NA
CHOYP_BRD8.1.1.m.244,0.000854706,0.009284683,No,NA,NA,NA,NA,NA,NA,mitochondrion [GO:0005739]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleoplasm [GO:0005654]; Swr1 complex [GO:0000812]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of growth [GO:0040008],NA,NA,NA
CHOYP_BRX1.1.1.m.30421,-0.002153474,-0.005035591,No,NA,NA,NA,NA,NA,NA,nucleolus [GO:0005730]; ribosomal large subunit assembly [GO:0000027],NA,NA,NA
CHOYP_BT3L4.1.1.m.2144,-0.002675038,0.000627682,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_BTAF1.2.2.m.55086,-0.007633711,-0.008945937,No,NA,NA,NA,NA,NA,NA,intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; helicase activity [GO:0004386]; negative regulation of chromatin binding [GO:0035562]; negative regulation of transcription; DNA-templated [GO:0045892],NA,NA,NA
CHOYP_BTKL.1.1.m.55270,0.0189468,-0.018461722,No,NA,NA,NA,NA,NA,NA,axon [GO:0030424]; cell junction [GO:0030054]; dendrite [GO:0030425]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; neuron projection [GO:0043005]; presynaptic membrane [GO:0042734]; calcium channel regulator activity [GO:0005246]; glutamate receptor activity [GO:0008066]; group II metabotropic glutamate receptor activity [GO:0001641]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; glutamate homeostasis [GO:0090461]; glutamate secretion [GO:0014047]; regulation of synaptic transmission; glutamatergic [GO:0051966],NA,NA,NA
